user,rating,review,date,clean_review
Eko Mardianto,5,mempermudahkan,2026-02-28 20:40:04,mudah
Walid Hidayat,5,mempermudah transaksi,2026-02-28 20:37:39,mudah transaksi
Ustu Alyana,5,"bagusss sihhh,cuman ngk tau kedepannya semoga ngk erorr😭😭takut banyak""tabungan jadinya",2026-02-28 20:33:54,bagusss sihhhcuman ngk tau depan moga ngk erorrtakut banyaktabungan jadi
Fajar Isnanto,3,kenapa nggak bisa di bukak,2026-02-28 20:33:20,nggak di bukak
Eka Ratna,4,saya tadi sudah melakukan verifikasi brimo dan tadi sudah bisa masuk ke brimo tapi pas mau masuk lagi tidak bisa harus verifikasi lagi tapi kata nya sudah melebihi limit. mohon info,2026-02-28 20:32:26,tadi laku verifikasi brimo tadi masuk brimo pas mau masuk tidak bisa harus verifikasi tapi kata nya lebih limit mohon info
Rudi Apriyadi,1,data sudah benar di bilang salah terus memusingkang,2026-02-28 20:30:33,data benar bilang salah terus memusingkang
Muhammad Iqbal Abdillah,1,gangguan terus menerus,2026-02-28 20:27:17,ganggu terus terus
Linda Wayam,5,Sangat Membantu saya,2026-02-28 20:23:47,sangat bantu
FIQI NURIMAN,1,Error Parah Ganti Password malah gak bisa login aneh,2026-02-28 20:19:20,error parah ganti password malah gak login aneh
Gia Cantik,1,knpa gak bisa login,2026-02-28 20:17:46,knpa gak login
Alula Maula,5,mudah dan memberi pelayanan bagus,2026-02-28 20:15:43,mudah beri layan bagus
Surya Fitria,5,menjalani hidup jadi lebih mudah,2026-02-28 20:15:13,jalan hidup jadi lebih mudah
Vian Mandacan,5,terbaik,2026-02-28 20:00:23,baik
ANDREAS PRATAMA,5,good,2026-02-28 19:59:17,good
Octavia Sartiana,5,Mudah,2026-02-28 19:51:39,mudah
muhammad imron,5,mudah,2026-02-28 19:49:38,mudah
Imah Anwar,1,"semakin di update semakin ngeblank putih, semakin gak bisa di gunakan ,",2026-02-28 19:47:46,makin update makin ngeblank putih makin gak di guna
Reandra Dwi,5,good,2026-02-28 19:46:28,good
sehu rahayu,5,amanah,2026-02-28 19:43:37,amanah
rudi yana,1,mau transfer tapi selalu keluar kode MTMU sangat mengecewakan👎,2026-02-28 19:36:22,mau transfer selalu keluar kode mtmu sangat kecewa
OhMyBaby Eunseooo,5,bagus,2026-02-28 19:35:04,bagus
Kahfi Aulia Yanuar,1,min kenapa kartu brizzi saya jadi gabisa top up di DANA,2026-02-28 19:33:06,min kartu brizzi jadi gabisa top up dana
Siti Masitah,4,"bagus mempermudah transaksi, cuman sayang sekali sering kena kode😮‍💨",2026-02-28 19:24:02,bagus mudah transaksi cuman sayang sekali sering kena kode
Suharno Hasyim,1,applikasi nggak bisa dibuka kenapa? biasanya bagus. instak ulang baru bisa tapi dipakai sekali nggak bisa dibuka lagi pusing emailnya kemana? kenapa harus uninstal lagi begitu terus rumit verifikasi terus,2026-02-28 19:18:10,applikasi buka biasa bagus instak ulang baru bisa tapi pakai sekali bisa buka pusing email kenapa uninstal begitu terus rumit verifikasi terus
Fifi Khoirunnisa,4,bagus dan cepat,2026-02-28 19:17:42,bagus cepat
Ichan Soewandi,4,"ribettt bin ribettt abis di update malah gabisa Masuk ,udh ngisi data""semua ganti sandi pw, udh masuk eh disuruh verivikasi lagi, KTP trus ngadat lama KTP tidak dikenal diulang lagi bisa ehh malah verivikasi muka yang gabisa keselll ujung ujungnya muncul tulisan tunggu 24 jam anda terlalu banyak aktifitas sialll",2026-02-28 19:16:04,ribettt bin ribettt abis update malah gabisa masuk udh ngisi datasemua ganti sandi pw udh masuk eh suruh verivikasi ktp trus ngadat lama ktp kenal ulang bisa ehh malah verivikasi muka gabisa keselll ujung ujung muncul tulis tunggu jam terlalu banyak aktifitas sialll
Darlili Lili,5,"memudahkan sekali transaksi dari rumah, saya sangat suka menggunakan aplikasi ini",2026-02-28 19:14:37,mudah sekali transaksi rumah sangat suka guna aplikasi
Heni Rahmawati,4,memudahkan transaksi antar bank,2026-02-28 19:11:09,mudah transaksi antar bank
Alex Heru,5,Aplikasi brimo bagus mudah penggunaannya saya suka👍👍👍👍👍🙏,2026-02-28 19:10:45,aplikasi brimo bagus mudah guna suka
HZ ID Official,3,"Saya salah satu pengguna BRImo minta tolong di tingkatkan lagi sistem update inpormasinya biar lebih terpercaya, pasalnya saya telah melakukan stor pinjaman BRI tetapi nominal total tagihan tidak menurun/berubah.",2026-02-28 19:10:02,salah satu guna brimo minta di tingkat sistem update inpormasinya biar lebih percaya pasal telah laku stor pinjam bri nominal total tagih menurunberubah
Nitha Wahyu,4,"aplikasinya bagus, mudah dipahami..tapi akhir2 ini sering gak bsa login, slalu muncul layar putih..sya coba hapus cache , update versi trbaru tp ttep gak bsa..sya hrus uninstall dan download lg, bru bsa login dan sdh berkali2 sperti itu, pling bsa d gunakan 1/2 kali lalu trulang lg gak bsa login..mhon d perbaiki lagi",2026-02-28 19:09:09,aplikasi bagus mudah dipahamitapi akhir sering gak bsa login slalu muncul layar putihsya coba hapus cache update versi trbaru tp ttep gak bsasya hrus uninstall download lg bru bsa login sdh kali sperti pling bsa d guna kali lalu trulang lg gak bsa loginmhon d baik
Rio Vlog,3,"pada menu pengajuan pinjaman,itu sepertinya hanya kusus para petinggi yang minimal pinjamannya 500 juta keatas. sedangkan kalangan menengah tidak mampu untuk pinjam sebesar itu dengan waktu 2-3 tahun",2026-02-28 19:04:28,menu aju pinjamanitu seperti sus petinggi minimal pinjam juta atas kalang tengah mampu pinjam besar dengan waktu tahun
anggar prajitno,5,pelayanan memuaskan sekali,2026-02-28 19:03:51,layan muas sekali
Sakti Manda,5,sangat membantu,2026-02-28 18:59:49,sangat bantu
yanna mulyana,5,sekarang aplikasi brimo sering nge blank putih tampilannya jadi gak bisa digunakan,2026-02-28 18:56:34,sekarang aplikasi brimo sering nge blank putih tampil jadi gak guna
Je Poy,5,uyeee,2026-02-28 18:52:30,uyeee
Dwi Apriyanto,5,se jauh ini gk ada masalah ..mohon di tingkatkan keamanannya ....,2026-02-28 18:50:15,se jauh gk masalah mohon tingkat aman
Agusriski 17,4,mantap,2026-02-28 18:37:03,mantap
Yu jimin,5,"ini apl sistem verifikasi nya ribet amat, verifikasi wajah kenapa gagal mulu? terus ada pemberitahuan, katanya davice yg saya pake terdeteksi aktivitas mencurigakan, dongo dongo. padahal banyak loh yg pake BRI tapi sisitem nya masih jadul",2026-02-28 18:36:03,apl sistem verifikasi nya ribet verifikasi wajah gagal mulu terus pemberitahuan kata davice yg pake deteksi aktivitas curiga dongo dongo padahal banyak loh yg pake bri sisitem nya jadul
Silvi Amelia,5,"sangat membantu dan bermanfa'at, BRImo memang bagus",2026-02-28 18:30:28,sangat bantu manfaat brimo memang bagus
Anu Mbul,5,sangat membantu,2026-02-28 18:30:08,sangat bantu
Dgbaji Cell,5,setelah sy pake aplikasi brimo Alhamdulillah bagus sekali mau transfer bisa mau isi pulsa bisa pokotnya brimo bagus sekali 👍,2026-02-28 18:29:38,sy pake aplikasi brimo alhamdulillah bagus sekali mau transfer mau isi pulsa pokotnya brimo bagus sekali
Karmin,5,Bank Terbaik,2026-02-28 18:26:58,bank baik
Laberki Channel,5,mantap,2026-02-28 18:26:26,mantap
Mayang sari,4,halo kk ini kenapa ya brimo saya tidak bisa login ? sudah 4 hari ini kk tolong bantuan nya dong kk,2026-02-28 18:14:28,halo kk kenapa brimo tidak login hari kk bantu nya dong kk
sofah lsm,5,Semua dipermudah dng adanya BRImo. Transaksi lbh cepat,2026-02-28 18:10:56,semua mudah dng ada brimo transaksi lbh cepat
Fahri Algih,5,sanggat puas,2026-02-28 18:06:40,sanggat puas
Roman syah,5,jadi susah masuknya,2026-02-28 18:03:22,jadi susah masuk
sahdan mardjan,5,terbaik,2026-02-28 18:03:05,baik
Rizal Efendi,1,ssangat jeelek dan sering gangguan,2026-02-28 18:02:05,ssangat jeelek sering ganggu
afrillia,5,jooizzzzz,2026-02-28 17:55:18,jooizzzzz
Yowan Latief,5,ok,2026-02-28 17:54:41,
Irene Krisma Nahak,2,mengapa aplikasi brimo tidak bisa di buka,2026-02-28 17:53:45,aplikasi brimo bisa buka
Rilna Parera,5,Aplikasi BRImo memang terbantu sekali dan mantap👍🏻,2026-02-28 17:52:30,aplikasi brimo memang bantu sekali mantap
Ichad Hatibae,1,aplikasi cukimai,2026-02-28 17:49:35,aplikasi cukimai
Akil Pace,1,"aplikasi sampah, banyak bug pas mau login tiba tiba blank putih!! kagak bisa login tuh perbaiki dong, urus tuh !",2026-02-28 17:48:18,aplikasi sampah banyak bug pas mau login tiba tiba blank putih kagak login tuh baik dong urus tuh
Belajar Tebleau,5,terbaik,2026-02-28 17:42:28,baik
Audy Tuilan,5,sangat baik,2026-02-28 17:40:49,sangat baik
Muhammad Rasyid,1,"Mau login aplikasi susah banget scan wajah dan selalu gagal,Ujung-ujungnya perangkat saya ditolak/Device ditolak sudah lebih satu minggu saya coba login lagi tetap terhalang device ditolak,Sudah cari solusi di Akun WA resmi BRI tapi tetap gak dikasih solusi sampai masalahnya selesai,Fitur live chat di WhatsApp juga tidak membantu sama sekali. sudah saya coba di perangkat yang lain juga tetap sama ujung-ujungnya mentok di verifikasi wajah dan selalu stak di device ditolak,Tolong segera diperbaiki",2026-02-28 17:40:35,mau login aplikasi susah banget scan wajah selalu gagalujungujungnya perangkat ditolakdevice tolak lebih satu minggu coba login tetap halang device ditolaksudah cari solusi akun wa resmi bri tetap gak kasih solusi masalah selesaifitur live chat whatsapp tidak bantu sama sekali saya coba perangkat lain tetap sama ujungujungnya mentok verifikasi wajah selalu stak device ditolaktolong segera baik
Pelangi Manokwari sunarto,5,sangat memudahkan,2026-02-28 17:39:31,sangat mudah
Tri Yono,2,"halao kak, kenapa ya brimo punya saya gk bisa di buka, pas di buka cuma berwarna putih🙏🙏",2026-02-28 17:38:15,halao kak ya brimo punya gk buka pas di buka cuma warna putih
fauzan alqimnatziar,5,menarik,2026-02-28 17:36:50,tarik
Om Garenk12,5,Rekomendasi,2026-02-28 17:35:19,rekomendasi
Ilra 890,5,biar bintang yg berbicara,2026-02-28 17:31:51,biar bintang yg bicara
Adriela,5,cepat dan gampang untuk di akses,2026-02-28 17:26:20,cepat gampang di akses
Agusta Kuruwop,5,Sangat membantu saya,2026-02-28 17:24:15,sangat bantu
Fuad Halwani,5,luarbiasa mantab,2026-02-28 17:22:20,luarbiasa mantab
Mhd Nurul Arifin,5,"halo kak, sebelum nya saya mau ngasih tau masalah brimo ini sudah ke beberapa kalinya apk brimo saya susah login awal masuk nya tampilan brimo habis tu langsung layar putih semua sudah ku tunggu lama masih gk bisa ku restart hp ku juga gk bisa login jadi saya mohon tolong pengertian nya untuk bisa mengatasi masalah ini kak, Terimakasih🙏",2026-02-28 17:19:46,halo kak nya mau ngasih tau masalah brimo beberapa kali apk brimo susah login awal masuk nya tampil brimo habis tu langsung layar putih semua sudah ku tunggu lama gk ku restart hp ku gk login jadi mohon erti nya bisa atas masalah kak terimakasih
Azzarudin,5,sangat membantu skali 👍👌👏🙏,2026-02-28 17:18:07,sangat bantu skali
Yono Tupar,5,bagus mudah di gunakan dalam bertransaksi,2026-02-28 17:15:46,bagus mudah guna transaksi
Sibontot Hoki,5,kenapa sering tiba2 error gak bisa di buka,2026-02-28 17:03:04,sering tiba error gak di buka
Itsme Jaya,1,mau bangkrut wkwk,2026-02-28 16:57:45,mau bangkrut wkwk
SNP INDONESIA,5,sangat membatu,2026-02-28 16:55:41,sangat batu
Agung Setiawan,1,gak bisa dibuka....ada pe.beritahuan pengaturan aksesbilitas,2026-02-28 16:52:08,gak dibukaada peberitahuan atur aksesbilitas
Rauf Darisurga,5,keren pokoknya deh,2026-02-28 16:43:39,keren pokok deh
imam yusuf wahyudi,5,transaksi lebih mudah dan uang bertambah😁,2026-02-28 16:42:27,transaksi lebih mudah uang tambah
Arman Gizel,4,ok mantap,2026-02-28 16:42:21,mantap
Nico Andreas,5,lumayan,2026-02-28 16:33:45,lumayan
Nur Dahlia Hasibuan,5,okkk,2026-02-28 16:30:35,okkk
Fitri indah sari,5,mengapa brimo saya tidak bisa di buka?,2026-02-28 16:29:46,brimo tidak di buka
Gufron Madurejo,1,mengecewakan sekali,2026-02-28 16:26:29,kecewa sekali
Parman Alfarisi,1,aplikasi paling ribet,2026-02-28 16:24:42,aplikasi paling ribet
Okta Chand,1,susah verifikasi... dicoba seharian g bisa bisa,2026-02-28 16:23:27,susah verifikasi coba hari g bisa
Tony Restu,5,sangat membantu,2026-02-28 16:22:37,sangat bantu
Faisol Umam,5,ok,2026-02-28 16:22:15,
Yoyok Wibowo,1,aplikasi brimo gak bisa di buka...cuman putih ja....,2026-02-28 16:20:17,aplikasi brimo gak di bukacuman putih ja
Haryaning Mahbubah,5,"Alhamdulillah mantap transaksi, data lengkap",2026-02-28 16:14:21,alhamdulillah mantap transaksi data lengkap
Danisiti,5,sangat terbaik,2026-02-28 16:14:20,sangat baik
latiful akbar,5,top deh,2026-02-28 16:11:25,top deh
Adli Harahap,5,keren,2026-02-28 16:11:07,keren
Mahyudin Mahyudin,5,cepat tepat terjangkau,2026-02-28 16:08:15,cepat tepat jangkau
Amirul Mashuri,5,dapat membantu,2026-02-28 16:06:20,bantu
Sigit Firmansyah,5,mudah,2026-02-28 16:05:13,mudah
Sariyanto,1,"Nyesel setelah update, tidak bisa login, verifikasi wajah gagal terus, padahal sudah sesuai intruksi. sudah ke 4 kalinya mencoba.",2026-02-28 16:04:06,nyesel update bisa login verifikasi wajah gagal terus padahal sesuai intruksi ke kali coba
Mintol Koplak,3,punyaku kok gk ada tulisan belum punya akun ya malah langsung tulisan daftar knp ya,2026-02-28 15:56:57,punya kok gk tulis punya akun malah langsung tulis daftar knp
cikgu amir,5,simpel dan cepat,2026-02-28 15:45:49,simpel cepat
Dendri Anggahuni,5,good,2026-02-28 15:36:55,good
Toyib Zainal,5,ditingkatkan.,2026-02-28 15:28:22,tingkat
yendi doank,5,Saya kesini setelah BRI mobile tidak bisa saya akses,2026-02-28 15:25:17,kesini bri mobile bisa akses
Tengku Reza Fahrin,5,mantap,2026-02-28 15:24:24,mantap
Arisa Marsaniningsih,1,"rekening berkurang sendiri, minta bantuan online malah ditolak 3x",2026-02-28 15:23:58,rekening kurang sendiri minta bantu online malah tolak x
Riki Andika,5,maaf akun saya mau minta tolong bisa tidak yaa🙏 akun saya bernama RIKI ANDIKA nomor brimo nya berapa saya tidak hafal mau login,2026-02-28 15:14:03,maaf akun mau minta bisa yaa akun nama riki andika nomor brimo nya berapa tidak hafal mau login
Ham Dani,4,mudah,2026-02-28 15:12:16,mudah
Misa Misa,5,good,2026-02-28 15:11:24,good
Maisya Febrianti,1,"jelek, aplikasi tidak bisa login. white screen terus menerus.",2026-02-28 15:09:08,jelek aplikasi bisa login white screen terus terus
dyah ratih,5,thanks gw bisa transfer lagi buat berbuat kebaikan. makasih brimo,2026-02-28 15:07:36,thanks gw transfer buat buat baik makasih brimo
ALDekhan 1212,5,praktis mudah dan cepat,2026-02-28 15:07:27,praktis mudah cepat
Endang Sulistiyani,5,sangat membantu aplikasi yg memudahkan bertransaksi keren 👍👍🤝,2026-02-28 15:06:13,sangat bantu aplikasi yg mudah transaksi keren
Borneo Tanjung777,5,sangat membantu dlm transaksi,2026-02-28 15:05:40,sangat bantu dlm transaksi
Turmudi AR,2,setiap kali buka harus login ? apa ga ada cara lebih mudah ? resiko salah p/w dan username berujung pemblokiran. beri petunjuk agar bisa lebih mudah,2026-02-28 15:05:23,kali buka login apa ga cara lebih mudah resiko salah pw username ujung blokir beri tunjuk bisa lebih mudah
Edi Santoso,5,trimakasih,2026-02-28 15:02:58,trimakasih
Ujang Virgo,5,sangat membantu dan mempermuda segala akses pembayaran.......aplikasi sangat berguna,2026-02-28 15:02:18,sangat bantu muda segala akses pembayaranaplikasi sangat guna
Ida Budi Astuti,5,memudahkan bertransakai,2026-02-28 14:57:19,mudah bertransakai
Anjar Iryandi,5,"cepat,, pelayanan nya bagus",2026-02-28 14:57:17,cepat layan nya bagus
David Sinaga,5,yang yujjju,2026-02-28 14:56:59,yujjju
Tuti Alawiyah,5,sangat membantu,2026-02-28 14:54:57,sangat bantu
Muhammad Ridwan,5,bagus mantap...memudahkan pengguna...,2026-02-28 14:46:26,bagus mantapmemudahkan guna
Shinta Hardy,5,mudah mengoperasikanya,2026-02-28 14:43:23,mudah mengoperasikanya
Hendry yanto,4,mantap,2026-02-28 14:36:58,mantap
Abe Nyobain,5,Sangat membantu..,2026-02-28 14:33:12,sangat bantu
Yulihartono Tono,5,sangat bagus sekali,2026-02-28 14:23:08,sangat bagus sekali
John Day,1,BRIMO klo jarang login kenapa ga bisa di buka .harus di download ulang .terus mesti verifikasi data lagi jadi ribet .,2026-02-28 14:22:02,brimo klo jarang login ga di buka di download ulang terus mesti verifikasi data jadi ribet
Abd Basyir,5,cepat dan sangat membantu mempermudah,2026-02-28 14:18:08,cepat sangat bantu mudah
Teguh Teguh,4,mahal biaya tf kelain bank tf 18000 kena biaya 6000,2026-02-28 14:17:55,mahal biaya tf lain bank tf kena biaya
Wira Suhendra,5,sangat bagus,2026-02-28 14:16:08,sangat bagus
Mirhan Mainda,5,"permisi kak, ini kenapa aplikasinya gk bisa login",2026-02-28 14:12:30,permisi kak kenapa aplikasi gk login
Imah Rizal,4,knp yah brimoku setiap ada notif bunyinya gak brimo gtu tp yg lain giliran di hp mamaku dan suamiku notifnya bunyinya brimo hpku doank yg enggak😓,2026-02-28 14:11:47,knp yah brimoku ada notif bunyi gak brimo gtu tp yg gilir hp mama suami notifnya bunyi brimo hpku doank yg enggak
Dami Nino,5,terbaik,2026-02-28 14:10:29,baik
Nyong Amir,5,pelayanan cepat sangat memuaskn,2026-02-28 14:08:27,layan cepat sangat memuaskn
Syafrizal Viktor,5,"mudah,praktis,episien,dan cepat",2026-02-28 14:05:50,mudahpraktisepisiendan cepat
Saifur Rohman,5,pokoknya suka bgt,2026-02-28 14:04:11,pokok suka bgt
Asep Rusmana,1,"benar"" heran sama nih aplikasi brimo saya baru reset HP terus coba login brimo lagi udah sukses, udah berhasil masuk ke menu brimo, tapi kenapa pas mau lagin yg ke 2 harus dari awal lagi, sampai seterus nya sudah 3 x gini terus, memang aplikasi sampahhhhh",2026-02-28 13:55:30,benar heran sama nih aplikasi brimo baru reset hp terus coba login brimo udah sukses udah hasil masuk menu brimo kenapa pas mau lagin yg dari awal sampai terus nya x gin terus memang aplikasi sampahhhhh
Yasir Sir,1,"brimo nya selalu yg muncul layar putih trs,, smpai cape",2026-02-28 13:51:22,brimo nya selalu yg muncul layar putih trs smpai cape
Venansius Manalu,3,sering delay padahal jaringn bagus,2026-02-28 13:50:22,sering delay padahal jaringn bagus
Rudi Hartono,1,"respon nya lama, ada masalah dinasabah tidak cepat tanggap, payah lah",2026-02-28 13:49:50,respon nya lama masalah nasabah cepat tanggap payah lah
GAFURI paringin,5,kenapa sekarang aplikasi brimo nya tidak mau padahal kemren maseh mau sekarang bila masuk kembali Lagi keawal,2026-02-28 13:41:16,sekarang aplikasi brimo nya mau padahal kemren maseh mau sekarang bila masuk lagi awal
Radi hezkiel Nduru,5,mudah dan sangat membantu,2026-02-28 13:40:21,mudah sangat bantu
Irma Mala,5,mudah & praktis klau mau krim uang,2026-02-28 13:34:35,mudah praktis klau mau krim uang
Sugeng Febri,5,sangat memudahkan,2026-02-28 13:32:49,sangat mudah
Rudiyansyah,4,coba dulu..,2026-02-28 13:31:09,coba dulu
theo theo,1,hadehhhh disuruh masukin kode otp tapi kode otpnya gak dikirim,2026-02-28 13:30:52,hadehhhh suruh masukin kode otp kode otpnya gak kirim
Samsung 4224 aje,5,sangat membatu,2026-02-28 13:19:42,sangat batu
Alam Ramdhani,5,mantap... tingkat kan selalu ya bri...,2026-02-28 13:09:30,mantap tingkat kan selalu bri
Rina Nose,5,knp akun brimo saya tidak ditemukan ya???gmn ngatasi ny,2026-02-28 13:05:29,knp akun brimo tidak temu yagmn ngatasi ny
Puji NaraMaldi,5,praktis ya ada Mbanking.Ditingkatkan keamanannya LG ya,2026-02-28 13:02:19,praktis ada mbankingditingkatkan aman lg
Nony Aleupah,5,keren,2026-02-28 13:01:57,keren
Muhammad Agus Sholihin,5,Alhamdulillah mudah digunakan dan memudahkan,2026-02-28 12:53:49,alhamdulillah mudah guna mudah
Tati Sumarti,5,pengalaman saya sebagai pengguna BRImo sangat memuaskan karena disituasi apa saja terkecuali masalah internet kami bisa menggunakan dg lancar,2026-02-28 12:53:35,alam bagai guna brimo sangat muas situasi apa kecuali masalah internet bisa guna dg lancar
andik triwibowo,5,sangat membantu,2026-02-28 12:53:00,sangat bantu
Imaez siti,5,semua jadi mudah 👍👍👍,2026-02-28 12:52:59,semua jadi mudah
Nurukhtikhasanah Nurukhtikhasanah,1,ini aplikasi busuk sayaudah masuk keluar sepentar harus login terus masukin aku ga bisa tolong di perbaiki lagi sangat sangat mengecewakan,2026-02-28 12:52:41,aplikasi busuk sayaudah masuk keluar pentar login terus masukin aku ga tolong baik sangat sangat kecewa
BAL GAMING BARU,5,good,2026-02-28 12:49:59,good
Gunawan Klepu,2,"kenapa sekarang susah sekali di buka, aplikasi sering gak respon, sekali di hapus data harus masuk ruwet sekali... tolong di tingkatkan, pengguna samsung galaxy s7",2026-02-28 12:49:40,sekarang susah sekali buka aplikasi sering gak respon sekali hapus data masuk ruwet sekali di tingkat guna samsung galaxy s
Zarah arah,5,"Alhamdulillah, saya sangat terbantu dgn diberikan kemudahan oleh brimo",2026-02-28 12:47:43,alhamdulillah sangat bantu dgn beri mudah brimo
Arwindo Arwindo,4,sangat membantu,2026-02-28 12:47:18,sangat bantu
Widyartha anggara,5,bagus,2026-02-28 12:47:17,bagus
Fajar Tegal,4,bagus,2026-02-28 12:39:55,bagus
Anggara Tanjung,1,kenapa yah selalu keluar mulu masukkan akun teruss padahal udah di masukkan besoknya gabisa di buka lagi di suruh masukin akun lagi,2026-02-28 12:36:29,yah selalu keluar mulu masuk akun teruss padahal udah masuk besok gabisa buka di suruh masukin akun
Sri Yanti,5,ok,2026-02-28 12:35:47,
aing pisan77,5,oke,2026-02-28 12:35:01,oke
Huand Selalu,1,apk gk bisa di buka... udah di riset ulang udah di perbaharui ttp sama... gk bisa log in...,2026-02-28 12:31:51,apk gk buka udah riset ulang udah di baharu ttp sama gk log in
Siti Rohimah,5,semua jadi mudah mksh brimo,2026-02-28 12:29:55,semua jadi mudah mksh brimo
Kasbiah Sunggu,5,lebih praktis mengirim dana,2026-02-28 12:21:38,lebih praktis kirim dana
Yusuf Sofiawan,1,Kita butuh menu screenshot pada layar saldo rekening!! Tiba tiba tidak bisa diScreenshot dalam aplikasi. Sangat bikin was was kalau saldo tetiba hilang dan kita lupa berapa saldo terakhir. Pertimbangan untuk pindah bank saja.,2026-02-28 12:19:28,butuh menu screenshot layar saldo rekening tiba tiba bisa discreenshot aplikasi sangat bikin was was kalau saldo tetiba hilang kita lupa berapa saldo akhir timbang pindah bank
Riki Suhardi,5,pokonya terbaik,2026-02-28 12:18:54,poko baik
Papang Pang,5,"Sangat membantu, terimakasih",2026-02-28 12:14:10,sangat bantu terimakasih
Shabian Azzam,5,mudah,2026-02-28 12:13:51,mudah
Suho Exo,2,kenapa duit suka hilang sedikit2 sih. kebiasaan bnget ungku Bru nyimpan 4 harian aj hbis hmpir 200 rb,2026-02-28 12:03:15,duit suka hilang sedikit sih biasa bnget ungku bru nyimpan hari aj hbis hmpir rb
Agus Sopian,5,penggunaan apkikasi sangat mudah dan simpel.,2026-02-28 11:58:56,guna apkikasi sangat mudah simpel
Samsul St,5,ok. sangat memudahkan,2026-02-28 11:55:08,sangat mudah
Hena hariezqiana04,5,sangant bagus dan mempermudah transaksi dan menabung,2026-02-28 11:51:17,sangant bagus mudah transaksi tabung
Fitsal Official,5,"kenapa ya sekarang susah buat di buka suka bleng putih ,dari dulu pake gak pernah kaya gini padahal ,mohon bantuannya",2026-02-28 11:48:23,ya sekarang susah buat buka suka bleng putih dulu pake gak pernah kaya gin padahal mohon bantu
Supri Yadi,5,"bikin mudah di setiap langkah,,👍👍👍",2026-02-28 11:47:50,bikin mudah tiap langkah
Rachmat Mauluddin,5,Bagus,2026-02-28 11:47:14,bagus
Nisa Fitri,5,sangat membantu.....,2026-02-28 11:44:04,sangat bantu
Maulansetiawan Setiawan,1,ko notikasi ya klw ada uang masuk sma keluar gk ada ya,2026-02-28 11:43:53,ko notikasi klw uang masuk sma keluar gk ya
Komeng,2,"brimo skrang aneh akhir² ini.. aplikasi jarang dibuka, sekalinya dibuka aplikasi malah blank putih, lalu keluar dari aplikasi(tidak dapat masuk) tolong perbaiki agar transaksi menjadi lebih mudah",2026-02-28 11:43:48,brimo skrang aneh akhir aplikasi jarang buka sekali buka aplikasi malah blank putih lalu keluar aplikasitidak masuk baik transaksi jadi lebih mudah
