user,rating,review,date
Ichan Soewandi,4,"ribettt bin ribettt abis di update malah gabisa Masuk ,udh ngisi data""semua ganti sandi pw, udh masuk eh disuruh verivikasi lagi, KTP trus ngadat lama KTP tidak dikenal diulang lagi bisa ehh malah verivikasi muka yang gabisa keselll ujung ujungnya muncul tulisan tunggu 24 jam anda terlalu banyak aktifitas sialll",2026-02-28 19:16:04
Darlili Lili,5,"memudahkan sekali transaksi dari rumah, saya sangat suka menggunakan aplikasi ini",2026-02-28 19:14:37
Heni Rahmawati,4,memudahkan transaksi antar bank,2026-02-28 19:11:09
Alex Heru,5,Aplikasi brimo bagus mudah penggunaannya saya suka👍👍👍👍👍🙏,2026-02-28 19:10:45
HZ ID Official,3,"Saya salah satu pengguna BRImo minta tolong di tingkatkan lagi sistem update inpormasinya biar lebih terpercaya, pasalnya saya telah melakukan stor pinjaman BRI tetapi nominal total tagihan tidak menurun/berubah.",2026-02-28 19:10:02
Nitha Wahyu,4,"aplikasinya bagus, mudah dipahami..tapi akhir2 ini sering gak bsa login, slalu muncul layar putih..sya coba hapus cache , update versi trbaru tp ttep gak bsa..sya hrus uninstall dan download lg, bru bsa login dan sdh berkali2 sperti itu, pling bsa d gunakan 1/2 kali lalu trulang lg gak bsa login..mhon d perbaiki lagi",2026-02-28 19:09:09
Rio Vlog,3,"pada menu pengajuan pinjaman,itu sepertinya hanya kusus para petinggi yang minimal pinjamannya 500 juta keatas. sedangkan kalangan menengah tidak mampu untuk pinjam sebesar itu dengan waktu 2-3 tahun",2026-02-28 19:04:28
anggar prajitno,5,pelayanan memuaskan sekali,2026-02-28 19:03:51
Sakti Manda,5,sangat membantu,2026-02-28 18:59:49
yanna mulyana,5,sekarang aplikasi brimo sering nge blank putih tampilannya jadi gak bisa digunakan,2026-02-28 18:56:34
Je Poy,5,uyeee,2026-02-28 18:52:30
Dwi Apriyanto,5,se jauh ini gk ada masalah ..mohon di tingkatkan keamanannya ....,2026-02-28 18:50:15
Agusriski 17,4,mantap,2026-02-28 18:37:03
Yu jimin,5,"ini apl sistem verifikasi nya ribet amat, verifikasi wajah kenapa gagal mulu? terus ada pemberitahuan, katanya davice yg saya pake terdeteksi aktivitas mencurigakan, dongo dongo. padahal banyak loh yg pake BRI tapi sisitem nya masih jadul",2026-02-28 18:36:03
Silvi Amelia,5,"sangat membantu dan bermanfa'at, BRImo memang bagus",2026-02-28 18:30:28
Anu Mbul,5,sangat membantu,2026-02-28 18:30:08
Dgbaji Cell,5,setelah sy pake aplikasi brimo Alhamdulillah bagus sekali mau transfer bisa mau isi pulsa bisa pokotnya brimo bagus sekali 👍,2026-02-28 18:29:38
Karmin,5,Bank Terbaik,2026-02-28 18:26:58
Laberki Channel,5,mantap,2026-02-28 18:26:26
Mayang sari,4,halo kk ini kenapa ya brimo saya tidak bisa login ? sudah 4 hari ini kk tolong bantuan nya dong kk,2026-02-28 18:14:28
sofah lsm,5,Semua dipermudah dng adanya BRImo. Transaksi lbh cepat,2026-02-28 18:10:56
Fahri Algih,5,sanggat puas,2026-02-28 18:06:40
Roman syah,5,jadi susah masuknya,2026-02-28 18:03:22
sahdan mardjan,5,terbaik,2026-02-28 18:03:05
Rizal Efendi,1,ssangat jeelek dan sering gangguan,2026-02-28 18:02:05
afrillia,5,jooizzzzz,2026-02-28 17:55:18
Yowan Latief,5,ok,2026-02-28 17:54:41
Irene Krisma Nahak,2,mengapa aplikasi brimo tidak bisa di buka,2026-02-28 17:53:45
Rilna Parera,5,Aplikasi BRImo memang terbantu sekali dan mantap👍🏻,2026-02-28 17:52:30
Ichad Hatibae,1,aplikasi cukimai,2026-02-28 17:49:35
Akil Pace,1,"aplikasi sampah, banyak bug pas mau login tiba tiba blank putih!! kagak bisa login tuh perbaiki dong, urus tuh !",2026-02-28 17:48:18
Belajar Tebleau,5,terbaik,2026-02-28 17:42:28
Audy Tuilan,5,sangat baik,2026-02-28 17:40:49
Muhammad Rasyid,1,"Mau login aplikasi susah banget scan wajah dan selalu gagal,Ujung-ujungnya perangkat saya ditolak/Device ditolak sudah lebih satu minggu saya coba login lagi tetap terhalang device ditolak,Sudah cari solusi di Akun WA resmi BRI tapi tetap gak dikasih solusi sampai masalahnya selesai,Fitur live chat di WhatsApp juga tidak membantu sama sekali. sudah saya coba di perangkat yang lain juga tetap sama ujung-ujungnya mentok di verifikasi wajah dan selalu stak di device ditolak,Tolong segera diperbaiki",2026-02-28 17:40:35
Pelangi Manokwari sunarto,5,sangat memudahkan,2026-02-28 17:39:31
Tri Yono,2,"halao kak, kenapa ya brimo punya saya gk bisa di buka, pas di buka cuma berwarna putih🙏🙏",2026-02-28 17:38:15
fauzan alqimnatziar,5,menarik,2026-02-28 17:36:50
Om Garenk12,5,Rekomendasi,2026-02-28 17:35:19
Ilra 890,5,biar bintang yg berbicara,2026-02-28 17:31:51
Adriela,5,cepat dan gampang untuk di akses,2026-02-28 17:26:20
Agusta Kuruwop,5,Sangat membantu saya,2026-02-28 17:24:15
Fuad Halwani,5,luarbiasa mantab,2026-02-28 17:22:20
Mhd Nurul Arifin,5,"halo kak, sebelum nya saya mau ngasih tau masalah brimo ini sudah ke beberapa kalinya apk brimo saya susah login awal masuk nya tampilan brimo habis tu langsung layar putih semua sudah ku tunggu lama masih gk bisa ku restart hp ku juga gk bisa login jadi saya mohon tolong pengertian nya untuk bisa mengatasi masalah ini kak, Terimakasih🙏",2026-02-28 17:19:46
Azzarudin,5,sangat membantu skali 👍👌👏🙏,2026-02-28 17:18:07
Yono Tupar,5,bagus mudah di gunakan dalam bertransaksi,2026-02-28 17:15:46
Sibontot Hoki,5,kenapa sering tiba2 error gak bisa di buka,2026-02-28 17:03:04
Itsme Jaya,1,mau bangkrut wkwk,2026-02-28 16:57:45
SNP INDONESIA,5,sangat membatu,2026-02-28 16:55:41
Agung Setiawan,1,gak bisa dibuka....ada pe.beritahuan pengaturan aksesbilitas,2026-02-28 16:52:08
Rauf Darisurga,5,keren pokoknya deh,2026-02-28 16:43:39
imam yusuf wahyudi,5,transaksi lebih mudah dan uang bertambah😁,2026-02-28 16:42:27
Arman Gizel,4,ok mantap,2026-02-28 16:42:21
Nico Andreas,5,lumayan,2026-02-28 16:33:45
Nur Dahlia Hasibuan,5,okkk,2026-02-28 16:30:35
Fitri indah sari,5,mengapa brimo saya tidak bisa di buka?,2026-02-28 16:29:46
Gufron Madurejo,1,mengecewakan sekali,2026-02-28 16:26:29
Parman Alfarisi,1,aplikasi paling ribet,2026-02-28 16:24:42
Okta Chand,1,susah verifikasi... dicoba seharian g bisa bisa,2026-02-28 16:23:27
Tony Restu,5,sangat membantu,2026-02-28 16:22:37
Faisol Umam,5,ok,2026-02-28 16:22:15
Yoyok Wibowo,1,aplikasi brimo gak bisa di buka...cuman putih ja....,2026-02-28 16:20:17
Haryaning Mahbubah,5,"Alhamdulillah mantap transaksi, data lengkap",2026-02-28 16:14:21
Danisiti,5,sangat terbaik,2026-02-28 16:14:20
latiful akbar,5,top deh,2026-02-28 16:11:25
Adli Harahap,5,keren,2026-02-28 16:11:07
Mahyudin Mahyudin,5,cepat tepat terjangkau,2026-02-28 16:08:15
Amirul Mashuri,5,dapat membantu,2026-02-28 16:06:20
Sigit Firmansyah,5,mudah,2026-02-28 16:05:13
Sariyanto,1,"Nyesel setelah update, tidak bisa login, verifikasi wajah gagal terus, padahal sudah sesuai intruksi. sudah ke 4 kalinya mencoba.",2026-02-28 16:04:06
Mintol Koplak,3,punyaku kok gk ada tulisan belum punya akun ya malah langsung tulisan daftar knp ya,2026-02-28 15:56:57
cikgu amir,5,simpel dan cepat,2026-02-28 15:45:49
Dendri Anggahuni,5,good,2026-02-28 15:36:55
Toyib Zainal,5,ditingkatkan.,2026-02-28 15:28:22
yendi doank,5,Saya kesini setelah BRI mobile tidak bisa saya akses,2026-02-28 15:25:17
Tengku Reza Fahrin,5,mantap,2026-02-28 15:24:24
Arisa Marsaniningsih,1,"rekening berkurang sendiri, minta bantuan online malah ditolak 3x",2026-02-28 15:23:58
Riki Andika,5,maaf akun saya mau minta tolong bisa tidak yaa🙏 akun saya bernama RIKI ANDIKA nomor brimo nya berapa saya tidak hafal mau login,2026-02-28 15:14:03
Ham Dani,4,mudah,2026-02-28 15:12:16
Misa Misa,5,good,2026-02-28 15:11:24
Maisya Febrianti,1,"jelek, aplikasi tidak bisa login. white screen terus menerus.",2026-02-28 15:09:08
dyah ratih,5,thanks gw bisa transfer lagi buat berbuat kebaikan. makasih brimo,2026-02-28 15:07:36
ALDekhan 1212,5,praktis mudah dan cepat,2026-02-28 15:07:27
Endang Sulistiyani,5,sangat membantu aplikasi yg memudahkan bertransaksi keren 👍👍🤝,2026-02-28 15:06:13
Borneo Tanjung777,5,sangat membantu dlm transaksi,2026-02-28 15:05:40
Turmudi AR,2,setiap kali buka harus login ? apa ga ada cara lebih mudah ? resiko salah p/w dan username berujung pemblokiran. beri petunjuk agar bisa lebih mudah,2026-02-28 15:05:23
Edi Santoso,5,trimakasih,2026-02-28 15:02:58
Ujang Virgo,5,sangat membantu dan mempermuda segala akses pembayaran.......aplikasi sangat berguna,2026-02-28 15:02:18
Ida Budi Astuti,5,memudahkan bertransakai,2026-02-28 14:57:19
Anjar Iryandi,5,"cepat,, pelayanan nya bagus",2026-02-28 14:57:17
David Sinaga,5,yang yujjju,2026-02-28 14:56:59
Tuti Alawiyah,5,sangat membantu,2026-02-28 14:54:57
Muhammad Ridwan,5,bagus mantap...memudahkan pengguna...,2026-02-28 14:46:26
Shinta Hardy,5,mudah mengoperasikanya,2026-02-28 14:43:23
Hendry yanto,4,mantap,2026-02-28 14:36:58
Abe Nyobain,5,Sangat membantu..,2026-02-28 14:33:12
Yulihartono Tono,5,sangat bagus sekali,2026-02-28 14:23:08
John Day,1,BRIMO klo jarang login kenapa ga bisa di buka .harus di download ulang .terus mesti verifikasi data lagi jadi ribet .,2026-02-28 14:22:02
Abd Basyir,5,cepat dan sangat membantu mempermudah,2026-02-28 14:18:08
Teguh Teguh,4,mahal biaya tf kelain bank tf 18000 kena biaya 6000,2026-02-28 14:17:55
Wira Suhendra,5,sangat bagus,2026-02-28 14:16:08
Mirhan Mainda,5,"permisi kak, ini kenapa aplikasinya gk bisa login",2026-02-28 14:12:30
Imah Rizal,4,knp yah brimoku setiap ada notif bunyinya gak brimo gtu tp yg lain giliran di hp mamaku dan suamiku notifnya bunyinya brimo hpku doank yg enggak😓,2026-02-28 14:11:47
Dami Nino,5,terbaik,2026-02-28 14:10:29
Nyong Amir,5,pelayanan cepat sangat memuaskn,2026-02-28 14:08:27
Syafrizal Viktor,5,"mudah,praktis,episien,dan cepat",2026-02-28 14:05:50
Saifur Rohman,5,pokoknya suka bgt,2026-02-28 14:04:11
Asep Rusmana,1,"benar"" heran sama nih aplikasi brimo saya baru reset HP terus coba login brimo lagi udah sukses, udah berhasil masuk ke menu brimo, tapi kenapa pas mau lagin yg ke 2 harus dari awal lagi, sampai seterus nya sudah 3 x gini terus, memang aplikasi sampahhhhh",2026-02-28 13:55:30
Yasir Sir,1,"brimo nya selalu yg muncul layar putih trs,, smpai cape",2026-02-28 13:51:22
Venansius Manalu,3,sering delay padahal jaringn bagus,2026-02-28 13:50:22
Rudi Hartono,1,"respon nya lama, ada masalah dinasabah tidak cepat tanggap, payah lah",2026-02-28 13:49:50
GAFURI paringin,5,kenapa sekarang aplikasi brimo nya tidak mau padahal kemren maseh mau sekarang bila masuk kembali Lagi keawal,2026-02-28 13:41:16
Radi hezkiel Nduru,5,mudah dan sangat membantu,2026-02-28 13:40:21
Irma Mala,5,mudah & praktis klau mau krim uang,2026-02-28 13:34:35
Sugeng Febri,5,sangat memudahkan,2026-02-28 13:32:49
Rudiyansyah,4,coba dulu..,2026-02-28 13:31:09
theo theo,1,hadehhhh disuruh masukin kode otp tapi kode otpnya gak dikirim,2026-02-28 13:30:52
Samsung 4224 aje,5,sangat membatu,2026-02-28 13:19:42
Alam Ramdhani,5,mantap... tingkat kan selalu ya bri...,2026-02-28 13:09:30
Rina Nose,5,knp akun brimo saya tidak ditemukan ya???gmn ngatasi ny,2026-02-28 13:05:29
Puji NaraMaldi,5,praktis ya ada Mbanking.Ditingkatkan keamanannya LG ya,2026-02-28 13:02:19
Nony Aleupah,5,keren,2026-02-28 13:01:57
Muhammad Agus Sholihin,5,Alhamdulillah mudah digunakan dan memudahkan,2026-02-28 12:53:49
Tati Sumarti,5,pengalaman saya sebagai pengguna BRImo sangat memuaskan karena disituasi apa saja terkecuali masalah internet kami bisa menggunakan dg lancar,2026-02-28 12:53:35
andik triwibowo,5,sangat membantu,2026-02-28 12:53:00
Imaez siti,5,semua jadi mudah 👍👍👍,2026-02-28 12:52:59
Nurukhtikhasanah Nurukhtikhasanah,1,ini aplikasi busuk sayaudah masuk keluar sepentar harus login terus masukin aku ga bisa tolong di perbaiki lagi sangat sangat mengecewakan,2026-02-28 12:52:41
BAL GAMING BARU,5,good,2026-02-28 12:49:59
Gunawan Klepu,2,"kenapa sekarang susah sekali di buka, aplikasi sering gak respon, sekali di hapus data harus masuk ruwet sekali... tolong di tingkatkan, pengguna samsung galaxy s7",2026-02-28 12:49:40
Zarah arah,5,"Alhamdulillah, saya sangat terbantu dgn diberikan kemudahan oleh brimo",2026-02-28 12:47:43
Arwindo Arwindo,4,sangat membantu,2026-02-28 12:47:18
Widyartha anggara,5,bagus,2026-02-28 12:47:17
Fajar Tegal,4,bagus,2026-02-28 12:39:55
Anggara Tanjung,1,kenapa yah selalu keluar mulu masukkan akun teruss padahal udah di masukkan besoknya gabisa di buka lagi di suruh masukin akun lagi,2026-02-28 12:36:29
Sri Yanti,5,ok,2026-02-28 12:35:47
aing pisan77,5,oke,2026-02-28 12:35:01
Huand Selalu,1,apk gk bisa di buka... udah di riset ulang udah di perbaharui ttp sama... gk bisa log in...,2026-02-28 12:31:51
Siti Rohimah,5,semua jadi mudah mksh brimo,2026-02-28 12:29:55
Kasbiah Sunggu,5,lebih praktis mengirim dana,2026-02-28 12:21:38
Yusuf Sofiawan,1,Kita butuh menu screenshot pada layar saldo rekening!! Tiba tiba tidak bisa diScreenshot dalam aplikasi. Sangat bikin was was kalau saldo tetiba hilang dan kita lupa berapa saldo terakhir. Pertimbangan untuk pindah bank saja.,2026-02-28 12:19:28
Riki Suhardi,5,pokonya terbaik,2026-02-28 12:18:54
Papang Pang,5,"Sangat membantu, terimakasih",2026-02-28 12:14:10
Shabian Azzam,5,mudah,2026-02-28 12:13:51
Suho Exo,2,kenapa duit suka hilang sedikit2 sih. kebiasaan bnget ungku Bru nyimpan 4 harian aj hbis hmpir 200 rb,2026-02-28 12:03:15
Agus Sopian,5,penggunaan apkikasi sangat mudah dan simpel.,2026-02-28 11:58:56
Samsul St,5,ok. sangat memudahkan,2026-02-28 11:55:08
Hena hariezqiana04,5,sangant bagus dan mempermudah transaksi dan menabung,2026-02-28 11:51:17
Fitsal Official,5,"kenapa ya sekarang susah buat di buka suka bleng putih ,dari dulu pake gak pernah kaya gini padahal ,mohon bantuannya",2026-02-28 11:48:23
Supri Yadi,5,"bikin mudah di setiap langkah,,👍👍👍",2026-02-28 11:47:50
Rachmat Mauluddin,5,Bagus,2026-02-28 11:47:14
Nisa Fitri,5,sangat membantu.....,2026-02-28 11:44:04
Maulansetiawan Setiawan,1,ko notikasi ya klw ada uang masuk sma keluar gk ada ya,2026-02-28 11:43:53
Komeng,2,"brimo skrang aneh akhir² ini.. aplikasi jarang dibuka, sekalinya dibuka aplikasi malah blank putih, lalu keluar dari aplikasi(tidak dapat masuk) tolong perbaiki agar transaksi menjadi lebih mudah",2026-02-28 11:43:48
Ari Handoko,4,Alhamdulillah Admin membantu terima kasih.,2026-02-28 11:43:23
Lucky 11,2,"udah 5x hapus donlot ulang, ga bs dipakai, eror trs, kukut ae",2026-02-28 11:42:19
Anis Wulandari,5,mantaapp sekali,2026-02-28 11:27:37
DADDY AL-FATIH,5,baik dan lancar,2026-02-28 11:25:39
Jaya Arya Mukti,5,ok,2026-02-28 11:20:58
Hasim asarie,5,bagus semoga bisa amanah dan tanggung jawab,2026-02-28 11:17:20
akhmad madu,5,good,2026-02-28 11:14:57
andri 01,4,"mempermudah dalam bertrangsaksi minusnya aplikasi sering ada masalah terpaksa d hapus, donload lagi",2026-02-28 11:14:04
Jusin Surilusna,5,sangat baik,2026-02-28 11:13:58
adih 123,5,Selama Ini Sy Cukup puas,2026-02-28 11:11:35
Fiki Sifa,5,bagus,2026-02-28 11:07:18
Krisna Wijaya,1,"aplikasi tidak stabil setiap kali buka blank putih dan harus hapus data buat login mulai awal, sangat menyusahka.",2026-02-28 11:05:23
Lisna Wati,4,"Alhamdulillah, kemaren sempat keblokir karena nomor hp hilang,setelah di urus semua kembali lancar,BRImo masih pilihan utama",2026-02-28 11:04:37
kevnxg,1,SUMPAH BISA GAK LOGIN TUH GAK USAH DIPERSULIT TERUS!!!!!!!,2026-02-28 11:01:57
Suci Lestari,5,mudah dan mantap,2026-02-28 10:59:17
Tri Setia,5,Terbaik,2026-02-28 10:57:43
Lusi Sumardan,1,brimo sekarang tiap log in harus verifikasi terus.,2026-02-28 10:54:35
Devid Ryon,5,"bagus, ada harapan baru",2026-02-28 10:50:51
Dini Rahmawati,5,sangat bagus,2026-02-28 10:48:07
Satya Magala,5,Mantab applikasinya,2026-02-28 10:47:20
Chivalry,1,aplikasi jembut,2026-02-28 10:45:16
Hamidah Gultom,5,"Masjid tabarakallah, Bank yang sangat baik",2026-02-28 10:45:15
Saisa Delima,3,Apk blank putih,2026-02-28 10:43:33
Slamet Widodo,5,bagus sangat membantu,2026-02-28 10:41:28
Hoerul Anwar,1,jujur kecewa samaa BRI keenappa setiap terangsaksi gakk bissa ke dana muncul mut# Mulu capekk deh di login nin gakk masuk masuk hapus aplikasi dah jaagann pake bri,2026-02-28 10:39:52
Erni Tea,5,mantab👍👍👍,2026-02-28 10:37:19
Kisworo,5,transaksi jadi lebih mudah,2026-02-28 10:35:57
Khen,5,ok,2026-02-28 10:33:14
Asep Supriatna,5,sangat memuaskan,2026-02-28 10:28:51
bang eugene,1,capek banget harus setiap hari login ulang dan verifikasi ulang terus 👎👎👎,2026-02-28 10:26:38
Gacul 13,1,Gak Bisa Ganti Kartu HP,2026-02-28 10:24:22
Endang Sundari,5,lebih mudah cepat tidak pakai antri 👍,2026-02-28 10:22:27
Lasrita Efriyanti,5,"hallo KK aplikasi brimo ni bagus sgt membantu sekali tapi sgt di syg kan kenapa skrg tidak bisa dibuka,saat mau masuk biru tiba2 lgsung keluar layar putih.padahal sudah mode pesawat dan hapus chace sm juga",2026-02-28 10:19:26
neha 14,5,keren,2026-02-28 10:15:07
alvian samani,1,setelah di update..tidak bisa lagi untuk login,2026-02-28 10:14:22
Nico Aryasaga,4,mantap jiwa,2026-02-28 10:13:22
SUGENG RIYADI,1,"verifikasi wajah gagal terus,padahal semua data sesuai KTP, kamera bagus,sinyal bagus, pencahayaan bagus,foto jelas.tapi masih aja gagal terus.ribet banget nih apk.cuman kyc aja kok susah banget",2026-02-28 10:13:04
Asri Joni,5,sangat mudah di gunakan dan sangat simpel.. sangat membantu sekali serta hemat waktu dalam bertransaksi,2026-02-28 10:12:56
Larasati Dwi,5,"kenapa sih sekarang ceria gak ada fitur tarik tunainya, dan tenornya cuman 6 bulan, please balikin kaya semula aja, ada tarik tunai dan tenornya sampai 12 bulan, karena itu benar-benar membantu nasabah. Mohon dipertimbangkan",2026-02-28 10:12:42
Oplos Oyag A Team,5,"jangan neko neko, hati hati",2026-02-28 10:12:20
Zaenal Mutaqin,1,bank taiii..BRI taii.. kirim uang dari hari Jumat jam 11 siang sampai 3 hari.. dasar bank taiii Persero taii .. program kaya taii ..,2026-02-28 10:12:18
Muhammad Azmi,1,"taee gajelas banget nih, masa tiap mau login harus verifikasi KTP sama foto wajah mulu, mana satu hari cuma bisa maksimal 3x",2026-02-28 10:10:37
daffin Cool,5,mudah cepat dan praktis,2026-02-28 10:06:22
Arin Annur,4,"min tolong, bank sampoerna hilang dr daftar bank penerima transfer, tolong di update kembali",2026-02-28 10:05:41
Khaila Putri,5,bgs sekali,2026-02-28 10:04:16
Anis Yesriyani Anis,5,aplikasi yang sangat bermanfaat,2026-02-28 10:03:38
SAHER CHANNEL,5,ok,2026-02-28 10:03:02
April Mbau,3,login sering tidak bisa,2026-02-28 10:01:35
Sarah Sacadipura,5,ok,2026-02-28 10:00:44
Lunaf Padang,5,Brimo ok,2026-02-28 09:59:28
Mido Smith,5,bintang berbicara,2026-02-28 09:56:20
Adhly Vixion,5,mantap,2026-02-28 09:56:07
Kaka Paloh85,5,"sangat membantu saya dalam melakukan transaksi dalam waktu tercepat,tapi dalam waktu dekat ini kenappa brimo tak dapat login??",2026-02-28 09:53:26
Madam Putra,5,mantap,2026-02-28 09:53:26
Abang Aso,5,bagus banget,2026-02-28 09:48:34
tongga masbro,2,sering kali layar putih begitu mau masuk aplikasi brimo....kejadian mulai des kemarin sampai sekarang petugas cs sampai mengeluh gangguan sama,2026-02-28 09:45:40
Zam Zam,4,cukup memuwas kan,2026-02-28 09:44:28
Dede Rumansyah,5,aplikasinya bagus banget lancar dan sangat memuaskan,2026-02-28 09:42:17
Akhamd Tirta,1,"masa udah aktivasi login,pake KTP ,vekmuk terus pas udah logout disuruh aktivasi lagi,buang waktu mana kadang gangguan,",2026-02-28 09:41:55
yune irmayani,5,mudah dan praktis.....,2026-02-28 09:16:03
Una Maryana,5,baru pertama bagus se x mempermudah smua nya,2026-02-28 08:59:59
Muzi Man,4,"masukan nominal 50.000 di daftar penarikan tunai, supaya memudahkan bagi nasabah yang ingin menarik pecahan 50.000. trimakasih",2026-02-28 08:59:35
iswatun azam,5,Nyaman dipakai untuk bayar²,2026-02-28 08:54:34
Zakaria Ritonga,5,saya sangat Suka dengan Aplikasinya sangat Membantu dan Mudah untuk transaksi apa pun.,2026-02-28 08:53:30
Saepul Hamami,5,okkemm,2026-02-28 08:51:00
Herman Belink,5,Baik,2026-02-28 08:50:23
TRISNO UTOMO,1,"selalu gagal dalam verifikasi wajah. beda banget sama bank² lain. udh dicoba ratusan kali tetep gagal terus. udh hubungi call center via tlpn, email, dan sudah dateng ke cs langsung di bank tetep belum berhasil. tolong dong klo buat aplikasi itu yg mempermudah usernya. kalo tdk buat payroll saya gk mau pakai BRI",2026-02-28 08:46:48
Solo Naswa,5,amanah,2026-02-28 08:43:49
Oppo,1,halo kak.saya sudah ada ATM .mau daftar brimo GK tau caranya,2026-02-28 08:43:22
Nila Natalia,5,Ok,2026-02-28 08:43:05
JSR Titipan illahi,1,"tidak bisa masuk verifikasi KTP gagal padahal dulu daftar nya aman,, saja tidak ada solusi",2026-02-28 08:37:31
Marlina Ocha,5,"jadi lebih gampang untuk Bertransaksi, happy",2026-02-28 08:37:22
Hamdani Doel,5,"baru kali ini saya menggunakan aplikasi brimo,jadi mudah berbisnis.",2026-02-28 08:31:22
Muhammad Alfian,5,manyap,2026-02-28 08:20:33
Eko Maria,4,kenapa gak aktif padahal uda aku isi saldo tetep gak bisa,2026-02-28 08:20:05
hairunisa Spt,5,kenapa yaa brimo aku nggk bisa login,2026-02-28 08:19:53
Trk Nirmala89,5,"semoga bisa lebih baik kedepannya,dan keamanan ttp dipercaya",2026-02-28 08:16:38
Hamb Phamb,5,Alhamdulillah Brimo ku lancar.,2026-02-28 08:16:29
